iter	Logloss
0	0.6354736569
1	0.5788938109
2	0.5392222103
3	0.5062327679
4	0.4766599104
5	0.4571560828
6	0.4331544061
7	0.4174822525
8	0.4021525549
9	0.3891521326
10	0.3787929564
11	0.3684727123
12	0.3603634896
13	0.3515223621
14	0.343221352
15	0.3366956507
16	0.3306221697
17	0.3234706833
18	0.3183854668
19	0.3128620506
20	0.3079428526
21	0.3022929717
22	0.2984458406
23	0.2944283605
24	0.2898627878
25	0.2863158148
26	0.2850609646
27	0.2816587219
28	0.2774706784
29	0.2743500282
30	0.2719008911
31	0.2675881407
32	0.2648399817
33	0.2624787846
34	0.2605071007
35	0.2580915146
36	0.2561373029
37	0.2533924883
38	0.2514078127
39	0.2489674868
40	0.247154661
41	0.2455649225
42	0.2431236747
43	0.241118354
44	0.2395459592
45	0.2382529916
46	0.2359895105
47	0.2342579574
48	0.2330591899
49	0.2312003788
50	0.2297975398
51	0.2295450176
52	0.2277338211
53	0.2260165459
54	0.2244017889
55	0.2229502634
56	0.2217687537
57	0.2206273981
58	0.2193829884
59	0.2179290403
60	0.2170116724
61	0.2158481281
62	0.214540561
63	0.2133659116
64	0.212072601
65	0.2107140536
66	0.2097118327
67	0.2083167115
68	0.2071599845
69	0.2059587945
70	0.2044525583
71	0.2033373575
72	0.2023709172
73	0.2010806723
74	0.1997619787
75	0.1987196253
76	0.1977692209
77	0.1967520361
78	0.1953824479
79	0.1943450897
80	0.193485541
81	0.1921246782
82	0.191330988
83	0.1901349432
84	0.1890485126
85	0.1882908603
86	0.1872953496
87	0.1858628614
88	0.184886195
89	0.1837570163
90	0.1828315019
91	0.1817353168
92	0.1810977192
93	0.1803004917
94	0.1793039092
95	0.1782343398
96	0.1774119545
97	0.1765025402
98	0.1756674526
99	0.1745926416
100	0.1735446928
101	0.1727880695
102	0.1719816236
103	0.1711260624
104	0.1700215914
105	0.1693396486
106	0.1687277985
107	0.1677082769
108	0.1670331622
109	0.1663188904
110	0.1653014805
111	0.1644553307
112	0.1635670975
113	0.1627090066
114	0.1617695251
115	0.160436918
116	0.1593416441
117	0.158420964
118	0.157675628
119	0.1570388451
120	0.1563560555
121	0.1556060245
122	0.1547072329
123	0.1535078008
124	0.1526646632
125	0.1515602243
126	0.1505087489
127	0.1498787834
128	0.1490347346
129	0.1483643578
130	0.1474150039
131	0.1463225062
132	0.1456600401
133	0.1448127541
134	0.1440058044
135	0.1431278616
136	0.142386899
137	0.1416388511
138	0.1408008694
139	0.1402736042
140	0.1394664615
141	0.1386749152
142	0.1378302447
143	0.137128911
144	0.1366420677
145	0.1358316128
146	0.1349869316
147	0.1342850297
148	0.1336360698
149	0.1327241687
150	0.1320820476
151	0.1311113304
152	0.1303728333
153	0.1297834398
154	0.1290314686
155	0.1284378089
156	0.1276789775
157	0.1270039486
158	0.1265397657
159	0.125682929
160	0.1251667045
161	0.1247840087
162	0.1241028913
163	0.1234221062
164	0.1227758368
165	0.1222483465
166	0.1218153993
167	0.1211811675
168	0.1205234822
169	0.1198501254
170	0.1191039641
171	0.1184510167
172	0.1177628996
173	0.1170506001
174	0.1164083933
175	0.1158767118
176	0.1154269998
177	0.1150724204
178	0.1144377492
179	0.1140143098
180	0.113461265
181	0.1130807989
182	0.1126389547
183	0.1121084416
184	0.1115889907
185	0.111057395
186	0.1103438306
187	0.1100229416
188	0.109339809
189	0.108670354
190	0.1080025712
191	0.1075239818
192	0.1069579668
193	0.1064490207
194	0.1059812254
195	0.1055397457
196	0.1048088807
197	0.1044623728
198	0.1041817557
199	0.1039178176
