iter	Passed	Remaining
0	4	963
1	9	904
2	14	931
3	20	983
4	25	983
5	29	969
6	35	969
7	39	947
8	44	934
9	48	925
10	53	918
11	58	912
12	63	914
13	69	916
14	73	910
15	79	912
16	84	905
17	89	899
18	94	898
19	99	894
20	103	885
21	109	888
22	114	878
23	118	867
24	122	857
25	126	848
26	130	833
27	134	825
28	138	817
29	143	811
30	146	801
31	151	793
32	155	786
33	159	780
34	163	772
35	167	765
36	171	757
37	176	753
38	181	749
39	186	745
40	190	739
41	194	733
42	199	727
43	203	721
44	207	715
45	211	709
46	217	706
47	220	699
48	225	695
49	230	691
50	234	685
51	236	674
52	240	668
53	245	662
54	249	657
55	253	651
56	258	647
57	262	641
58	265	635
59	271	632
60	276	628
61	281	627
62	287	625
63	292	622
64	297	618
65	302	614
66	307	609
67	311	603
68	315	598
69	320	594
70	324	590
71	328	584
72	333	579
73	337	574
74	341	569
75	345	563
76	349	558
77	353	552
78	356	546
79	360	540
80	365	536
81	370	532
82	374	528
83	379	524
84	383	519
85	387	514
86	391	508
87	396	504
88	399	498
89	403	493
90	407	488
91	412	483
92	415	478
93	419	473
94	423	468
95	427	463
96	431	458
97	435	453
98	439	448
99	444	444
100	448	439
101	453	435
102	458	431
103	463	427
104	467	422
105	471	418
106	475	413
107	479	408
108	483	403
109	487	398
110	491	394
111	495	389
112	500	385
113	505	380
114	510	376
115	514	372
116	518	367
117	522	362
118	525	357
119	530	353
120	533	348
121	537	343
122	542	339
123	545	334
124	549	329
125	553	324
126	556	319
127	562	316
128	566	311
129	571	307
130	575	303
131	580	298
132	584	294
133	589	290
134	594	286
135	600	282
136	605	278
137	610	274
138	614	269
139	619	265
140	624	261
141	629	257
142	635	253
143	639	248
144	644	244
145	648	239
146	653	235
147	657	231
148	662	226
149	666	222
150	671	217
151	675	213
152	680	209
153	686	205
154	691	200
155	696	196
156	701	192
157	706	187
158	711	183
159	717	179
160	721	174
161	726	170
162	731	165
163	735	161
164	741	157
165	746	152
166	751	148
167	756	144
168	761	139
169	766	135
170	771	130
171	776	126
172	781	121
173	786	117
174	790	112
175	795	108
176	801	104
177	806	99
178	811	95
179	815	90
180	820	86
181	825	81
182	829	77
183	834	72
184	839	68
185	844	63
186	849	59
187	854	54
188	859	50
189	864	45
190	869	40
191	874	36
192	878	31
193	883	27
194	887	22
195	892	18
196	897	13
197	902	9
198	910	4
199	916	0
